r_wave_times,r_wave_samples,dtk
0.58984375,152,NaN
1.3203125,339,0.730468750000000
2.02734375,520,0.707031250000000
2.7578125,707,0.730468750000000
3.48046875,892,0.722656250000000
4.19140625,1074,0.710937500000000
4.87890625,1250,0.687500000000000
5.5703125,1427,0.691406250000000
6.26171875,1604,0.691406250000000
6.94921875,1780,0.687500000000000
7.609375,1949,0.660156250000000
8.28125,2121,0.671875000000000
8.96484375,2296,0.683593750000000
9.671875,2477,0.707031250000000
10.39453125,2662,0.722656250000000
11.1015625,2843,0.707031250000000
11.84765625,3034,0.746093750000000
12.60546875,3228,0.757812500000000
13.38671875,3428,0.781250000000000
14.1484375,3623,0.761718750000000
14.8828125,3811,0.734375000000000
15.625,4001,0.742187500000000
16.35546875,4188,0.730468750000000
17.0703125,4371,0.714843750000000
17.74609375,4544,0.675781250000000
18.43359375,4720,0.687500000000000
19.125,4897,0.691406250000000
19.8203125,5075,0.695312500000000
20.48828125,5246,0.667968750000000
21.15625,5417,0.667968750000000
21.875,5601,0.718750000000000
22.6171875,5791,0.742187500000000
23.37890625,5986,0.761718750000000
24.10546875,6172,0.726562500000000
24.82421875,6356,0.718750000000000
25.546875,6541,0.722656250000000
26.27734375,6728,0.730468750000000
27.00390625,6914,0.726562500000000
27.70703125,7094,0.703125000000000
28.4140625,7275,0.707031250000000
29.12890625,7458,0.714843750000000
29.84375,7641,0.714843750000000
30.5625,7825,0.718750000000000
31.265625,8005,0.703125000000000
31.9609375,8183,0.695312500000000
32.6953125,8371,0.734375000000000
33.46484375,8568,0.769531250000000
34.25,8769,0.785156250000000
35.03515625,8970,0.785156250000000
35.8046875,9167,0.769531250000000
36.578125,9365,0.773437500000000
37.3359375,9559,0.757812500000000
38.0859375,9751,0.750000000000000
38.80078125,9934,0.714843750000000
39.49609375,10112,0.695312500000000
40.19921875,10292,0.703125000000000
40.921875,10477,0.722656250000000
41.65625,10665,0.734375000000000
42.41015625,10858,0.753906250000000
43.12890625,11042,0.718750000000000
43.85546875,11228,0.726562500000000
44.61328125,11422,0.757812500000000
45.359375,11613,0.746093750000000
46.1171875,11807,0.757812500000000
46.83984375,11992,0.722656250000000
47.56640625,12178,0.726562500000000
48.3046875,12367,0.738281250000000
49.046875,12557,0.742187500000000
49.796875,12749,0.750000000000000
50.54296875,12940,0.746093750000000
51.26171875,13124,0.718750000000000
51.98828125,13310,0.726562500000000
52.7109375,13495,0.722656250000000
53.43359375,13680,0.722656250000000
54.15234375,13864,0.718750000000000
54.8515625,14043,0.699218750000000
55.546875,14221,0.695312500000000
56.2578125,14403,0.710937500000000
56.984375,14589,0.726562500000000
57.71875,14777,0.734375000000000
58.453125,14965,0.734375000000000
59.171875,15149,0.718750000000000
59.9140625,15339,0.742187500000000
60.6640625,15531,0.750000000000000
61.4140625,15723,0.750000000000000
62.14453125,15910,0.730468750000000
62.8515625,16091,0.707031250000000
63.5546875,16271,0.703125000000000
64.2421875,16447,0.687500000000000
64.9296875,16623,0.687500000000000
65.58984375,16792,0.660156250000000
66.26171875,16964,0.671875000000000
66.95703125,17142,0.695312500000000
67.66796875,17324,0.710937500000000
68.38671875,17508,0.718750000000000
69.10546875,17692,0.718750000000000
69.80078125,17870,0.695312500000000
70.50390625,18050,0.703125000000000
71.203125,18229,0.699218750000000
71.9140625,18411,0.710937500000000
72.625,18593,0.710937500000000
73.30078125,18766,0.675781250000000
73.99609375,18944,0.695312500000000
74.68359375,19120,0.687500000000000
75.37890625,19298,0.695312500000000
76.0703125,19475,0.691406250000000
76.7265625,19643,0.656250000000000
77.390625,19813,0.664062500000000
78.05859375,19984,0.667968750000000
78.7265625,20155,0.667968750000000
79.421875,20333,0.695312500000000
80.1328125,20515,0.710937500000000
80.85546875,20700,0.722656250000000
81.54296875,20876,0.687500000000000
82.24609375,21056,0.703125000000000
82.9609375,21239,0.714843750000000
83.6796875,21423,0.718750000000000
84.41015625,21610,0.730468750000000
85.0859375,21783,0.675781250000000
85.75390625,21954,0.667968750000000
86.421875,22125,0.667968750000000
87.078125,22293,0.656250000000000
87.703125,22453,0.625000000000000
88.32421875,22612,0.621093750000000
88.94921875,22772,0.625000000000000
89.5625,22929,0.613281250000000
90.16796875,23084,0.605468750000000
90.765625,23237,0.597656250000000
91.3671875,23391,0.601562500000000
91.96484375,23544,0.597656250000000
92.5625,23697,0.597656250000000
93.1796875,23855,0.617187500000000
93.8046875,24015,0.625000000000000
94.44921875,24180,0.644531250000000
95.11328125,24350,0.664062500000000
95.79296875,24524,0.679687500000000
96.49609375,24704,0.703125000000000
97.2421875,24895,0.746093750000000
